x-axis,1,2
second,Volt,Volt
+5.080000E+00,,
+5.083900E+00,+4.865745E+00,+4.878141E+00
+5.087800E+00,+4.867420E+00,+3.754188E+00
+5.091700E+00,+4.865745E+00,+4.819514E+00
+5.095600E+00,+4.814657E+00,+4.878141E+00
+5.099500E+00,+4.865745E+00,+4.878141E+00
+5.103400E+00,+4.867420E+00,+4.797739E+00
+5.107300E+00,+4.876633E+00,+4.797739E+00
+5.111200E+00,+4.867420E+00,+4.834590E+00
+5.115100E+00,+4.836432E+00,+4.878141E+00
+5.119000E+00,+4.845645E+00,+4.878141E+00
+5.122900E+00,+4.865745E+00,+4.797739E+00
+5.126800E+00,+4.836432E+00,+4.816164E+00
+5.130700E+00,+4.847320E+00,+4.797739E+00
+5.134600E+00,+4.845645E+00,+4.878141E+00
+5.138500E+00,+4.836432E+00,+4.797739E+00
+5.142400E+00,+4.867420E+00,+4.878141E+00
+5.146300E+00,+4.876633E+00,+4.797739E+00
+5.150200E+00,+4.876633E+00,+4.940117E+00
+5.154100E+00,+4.858208E+00,+4.878141E+00
+5.158000E+00,+4.876633E+00,+4.878141E+00
+5.161900E+00,+4.847320E+00,+3.593384E+00
+5.165800E+00,+4.836432E+00,+4.878141E+00
+5.169700E+00,+4.876633E+00,+4.878141E+00
+5.173600E+00,+4.867420E+00,+4.940117E+00
+5.177500E+00,+4.836432E+00,+4.878141E+00
+5.181400E+00,+4.836432E+00,+4.878141E+00
+5.185300E+00,+4.865745E+00,+4.856365E+00
+5.189200E+00,+4.907621E+00,+4.859715E+00
+5.193100E+00,+4.876633E+00,+4.797739E+00
+5.197000E+00,+4.876633E+00,+4.797739E+00
+5.200900E+00,+4.836432E+00,+4.878141E+00
+5.204800E+00,+4.867420E+00,+4.940117E+00
+5.208700E+00,+4.847320E+00,+4.797739E+00
+5.212600E+00,+4.845645E+00,+4.816164E+00
+5.216500E+00,+4.865745E+00,+1.280151E+00
+5.220400E+00,+4.876633E+00,+4.878141E+00
+5.224300E+00,+4.847320E+00,+4.819514E+00
+5.228200E+00,+4.867420E+00,+4.878141E+00
+5.232100E+00,+4.836432E+00,+4.878141E+00
+5.236000E+00,+4.845645E+00,+4.878141E+00
+5.239900E+00,+4.865745E+00,+4.878141E+00
+5.243800E+00,+4.845645E+00,+4.878141E+00
+5.247700E+00,+4.876633E+00,+4.878141E+00
+5.251600E+00,+4.867420E+00,+4.878141E+00
+5.255500E+00,+4.836432E+00,+4.878141E+00
+5.259400E+00,+4.836432E+00,+4.878141E+00
